Model,Accuracy (%),Params (M),Latency (ms)
V4-Attention (Ours),99.79413278435409,0.091608,3.1579539999984263
ResNet-18,99.58826556870818,11.178564,3.985271000001376
MobileNet-V2,99.17653113741636,2.228996,7.465740000006917
ShuffleNet-V2,99.17653113741636,1.257704,9.208317000011448
